lga_name,date,year,month_num,month_name,month_label,age_group,sex,Assault,Grievous Assault,Serious Assault,Sexual Offences,Robbery,Armed Robbery,Unlawful Entry,Other Property Damage,Fraud,Breach Domestic Violence Protection Order,Drink Driving
Aurukun Shire Council,2010-01-01,2010,1,January,Jan 2010,Adult,Female,4,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2010-01-01,2010,1,January,Jan 2010,Adult,Male,2,0,1,0,0,0,1,2,0,4,4
Aurukun Shire Council,2010-01-01,2010,1,January,Jan 2010,Juvenile,Male,0,0,0,0,0,0,10,4,0,0,0
Aurukun Shire Council,2010-02-01,2010,2,February,Feb 2010,Adult,Female,0,0,0,0,0,0,0,0,0,0,1
Aurukun Shire Council,2010-02-01,2010,2,February,Feb 2010,Adult,Male,2,0,1,0,0,0,1,2,0,2,3
Aurukun Shire Council,2010-02-01,2010,2,February,Feb 2010,Juvenile,Male,1,0,0,0,0,0,23,15,0,0,0
Aurukun Shire Council,2010-03-01,2010,3,March,Mar 2010,Adult,Female,1,0,0,0,0,0,0,3,0,0,0
Aurukun Shire Council,2010-03-01,2010,3,March,Mar 2010,Adult,Male,5,1,2,0,0,0,0,2,0,1,0
Aurukun Shire Council,2010-03-01,2010,3,March,Mar 2010,Juvenile,Male,0,0,0,1,0,0,7,3,0,0,0
Aurukun Shire Council,2010-04-01,2010,4,April,Apr 2010,Adult,Female,2,0,1,0,0,0,0,1,0,0,0
Aurukun Shire Council,2010-04-01,2010,4,April,Apr 2010,Adult,Male,3,0,1,0,0,0,0,1,0,2,0
Aurukun Shire Council,2010-04-01,2010,4,April,Apr 2010,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2010-04-01,2010,4,April,Apr 2010,Juvenile,Male,0,0,0,0,0,0,0,1,0,0,0
Aurukun Shire Council,2010-05-01,2010,5,May,May 2010,Adult,Female,1,0,0,0,0,0,0,0,0,1,0
Aurukun Shire Council,2010-05-01,2010,5,May,May 2010,Adult,Male,11,1,7,0,0,0,1,0,0,3,4
Aurukun Shire Council,2010-05-01,2010,5,May,May 2010,Juvenile,Female,0,0,0,0,0,0,0,1,0,0,0
